smiles,group,drugbank
CN1CCN2c3ncccc3Cc3ccccc3C2C1,test,-1
CCCC(C)(COC(N)=O)COC(N)=O,test,-1
CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,test,-1
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,test,-1
CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,test,-1
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,test,-1
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,test,-1
CC(=O)C1CC[C@H]2C3=CC=C4CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,test,-1
Cc1cccc(C)c1OCC(C)N,test,-1
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,test,-1
CCOC(=O)C1=C(COCCN)N=C(C)C(C(=O)OC)C1c1ccccc1Cl,test,-1
Nc1c2c(nc3ccccc13)CCCC2,test,-1
CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,test,-1
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,test,-1
CCCCC(=O)OCC(=O)[C@@]1(O)C=C(O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(c(O)c3c(O)c4cccc(OC)c4c(O)c3c2O)C1,test,-1
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,test,-1
CNC[C@H](O)c1cccc(O)c1,test,-1
CCOC(=O)n1ccn(C)c1=S,test,-1
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(c8coc(O)c8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,test,-1
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,test,-1
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,test,-1
COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,test,-1
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,test,-1
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,test,-1
CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,test,-1
CC(N)C(O)c1ccccc1,test,-1
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,test,-1
O=[PH](=O)(O)C(O)(Cn1ccnc1)[PH](=O)(=O)O,test,-1
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,test,-1
COC(=O)C1=C(C)N=C(C)C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],test,-1
CN1CCN(C(=O)Oc2c3nccnc3c(O)n2-c2ccc(Cl)cn2)CC1,test,-1
